Datum;ID_Omg;Vecka;M1-1;M1-X;M1-2;M2-1;M2-X;M2-2;M3-1;M3-X;M3-2;M4-1;M4-X;M4-2;M5-1;M5-X;M5-2;M6-1;M6-X;M6-2;M7-1;M7-X;M7-2;M8-1;M8-X;M8-2;M9-1;M9-X;M9-2;M10-1;M10-X;M10-2;M11-1;M11-X;M11-2;M12-1;M12-X;M12-2;M13-1;M13-X;M13-2;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;13 rätt;12 rätt;11 rätt;10 rätt;Vinnare 13;Vinnare 12;Vinnare 11;Vinnare 10;Omsättning;JackPott_Milj;Correct_Row;True_Rank
2021-05-19;2063;20;11.0;17.0;72.0;16.0;23.0;61.0;49.0;27.0;24.0;64;20.0;16.0;59;24.0;17.0;24.0;24.0;52.0;29.0;27.0;44.0;24;25.0;51.0;56.0;24.0;20.0;59.0;22.0;19.0;36.0;26.0;38.0;38.0;29.0;33.0;33.0;31.0;36.0;2;2;1;2;1;2;2;2;1;1;1;X;1;9846;198;0;0;186.0;5205.0;49263;233268;7224863;;22121222111X1;1120
2021-05-22;2064;20;69.0;18.0;13.0;12.0;19.0;69.0;23.0;23.0;54.0;38;24.0;38.0;39;26.0;35.0;27.0;24.0;49.0;39.0;30.0;31.0;61;23.0;16.0;31.0;27.0;42.0;49.0;27.0;24.0;31.0;29.0;40.0;50.0;27.0;23.0;31.0;31.0;38.0;1;2;2;2;2;1;X;X;1;1;2;1;1;77744;972;48;16;57.0;1562.0;17098;106456;10626543;4.5;122221XX11211;24742
2021-05-26;2065;21;23.0;26.0;51.0;39.0;26.0;35.0;47.0;25.0;28.0;47;26.0;27.0;71;17.0;12.0;73.0;16.0;11.0;27.0;28.0;45.0;32;30.0;38.0;63.0;21.0;16.0;38.0;26.0;36.0;49.0;26.0;25.0;40.0;26.0;34.0;39.0;25.0;36.0;X;2;1;X;1;1;2;1;1;1;2;1;X;118886;1599;65;19;12.0;503.0;6748;47656;5627786;;X21X11211121X;30594
2021-05-30;2066;21;37.0;27.0;36.0;55.0;25.0;20.0;46.0;28.0;26.0;38;29.0;33.0;56;26.0;18.0;43.0;26.0;31.0;43.0;27.0;30.0;45;26.0;29.0;63.0;21.0;16.0;63.0;22.0;15.0;61.0;22.0;17.0;36.0;25.0;39.0;11.0;16.0;73.0;X;1;2;1;2;1;1;2;1;1;1;X;2;58417;1006;46;0;26.0;851.0;9981;64927;5991589;;X1212112111X2;16787
2021-06-02;2067;22;43.0;27.0;30.0;67.0;20.0;13.0;60.0;25.0;15.0;76;16.0;8.0;65;21.0;14.0;54.0;30.0;16.0;28.0;24.0;48.0;71;15.0;14.0;76.0;16.0;8.0;78.0;13.0;9.0;54.0;26.0;20.0;17.0;24.0;59.0;63.0;20.0;17.0;X;X;1;1;1;2;X;1;X;1;1;2;1;17605;290;17;0;144.0;3037.0;27033;138632;6159720;2.0;XX1112X1X1121;15754
2021-06-06;2068;22;56.0;25.0;19.0;74.0;17.0;9.0;42.0;32.0;26.0;57;25.0;18.0;80;13.0;7.0;76.0;17.0;7.0;16.0;26.0;58.0;34;30.0;36.0;51.0;26.0;23.0;49.0;28.0;23.0;34.0;31.0;35.0;62.0;20.0;18.0;21.0;23.0;56.0;1;1;2;X;1;1;2;1;1;2;1;1;X;25730;436;24;0;115.0;2528.0;24753;140571;7724127;2.5;112X11211211X;7079
2021-06-11;2069;23;11.0;24.0;65.0;26.0;33.0;41.0;65.0;22.0;13.0;55;26.0;19.0;53;27.0;20.0;65.0;22.0;13.0;63.0;23.0;14.0;35;29.0;36.0;52.0;27.0;21.0;71.0;19.0;10.0;18.0;25.0;57.0;36.0;30.0;34.0;16.0;25.0;59.0;2;X;2;1;1;1;1;2;2;X;2;1;2;188899;1914;51;0;29.0;1244.0;25318;203411;16658482;5.0;2X2111122X212;26411
2021-06-16;2070;24;56.0;27.0;17.0;58.0;26.0;16.0;25.0;28.0;47.0;65;21.0;14.0;54;28.0;18.0;47.0;29.0;24.0;71.0;18.0;11.0;13;22.0;65.0;24.0;30.0;46.0;65.0;21.0;14.0;66.0;21.0;13.0;39.0;28.0;33.0;39.0;29.0;32.0;1;1;2;1;1;X;X;X;2;X;1;1;2;180641;2064;87;23;35.0;988.0;12748;99122;14262164;5.0;11211XXX2X112;54585
2021-06-20;2071;24;66.0;21.0;13.0;57.0;24.0;19.0;39.0;29.0;32.0;6;13.0;81.0;24;28.0;48.0;8.0;15.0;77.0;13.0;18.0;69.0;46;28.0;26.0;35.0;29.0;36.0;7.0;14.0;79.0;26.0;30.0;44.0;77.0;15.0;8.0;51.0;26.0;23.0;1;1;2;2;2;2;2;1;1;2;X;X;1;16339;119;0;0;306.0;13388.0;124563;536251;11159494;;1122222112XX1;1315
2021-06-23;2072;25;35.0;29.0;36.0;7.0;14.0;79.0;26.0;30.0;44.0;77;15.0;8.0;43;27.0;30.0;49.0;23.0;28.0;37.0;31.0;32.0;59;25.0;16.0;42.0;27.0;31.0;43.0;28.0;29.0;50.0;26.0;24.0;29.0;27.0;44.0;50.0;26.0;24.0;1;2;X;X;2;X;X;1;2;1;1;2;1;990152;3091;103;25;4.0;233.0;3808;32574;5036495;;12XX2XX121121;112546
