Datum;ID_Omg;Vecka;M1-1;M1-X;M1-2;M2-1;M2-X;M2-2;M3-1;M3-X;M3-2;M4-1;M4-X;M4-2;M5-1;M5-X;M5-2;M6-1;M6-X;M6-2;M7-1;M7-X;M7-2;M8-1;M8-X;M8-2;M9-1;M9-X;M9-2;M10-1;M10-X;M10-2;M11-1;M11-X;M11-2;M12-1;M12-X;M12-2;M13-1;M13-X;M13-2;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;13 rätt;12 rätt;11 rätt;10 rätt;Vinnare 13;Vinnare 12;Vinnare 11;Vinnare 10;Omsättning;JackPott_Milj;Correct_Row;True_Rank
2022-04-16;4737;15;42.0;26.999999999999996;31.000000000000007;81.0;12.99999999999999;6.000000000000005;23.0;26.0;51.0;33.0;30.0;37.0;30.0;31.0;39.0;36.0;31.000000000000007;32.99999999999999;45.0;28.999999999999996;26.0;59.0;24.0;17.000000000000004;71.0;19.000000000000007;9.999999999999998;70.0;19.000000000000007;10.999999999999998;43.0;27.999999999999996;29.000000000000004;47.0;28.000000000000004;25.0;47.0;25.0;28.000000000000004;2;1;1;2;2;1;2;X;X;1;1;2;2;407407;2907;200;60;27;872;10109;69614;25999547;11.0;2112212XX1122;334832
2022-04-23;4738;16;24.0;26.0;50.0;87.0;8.999999999999996;4.0000000000000036;34.0;27.999999999999996;38.0;27.0;29.000000000000004;43.99999999999999;39.0;28.000000000000004;32.99999999999999;46.0;26.999999999999996;27.0;28.999999999999996;27.000000000000007;43.99999999999999;30.0;28.999999999999996;41.0;39.0;28.000000000000004;32.99999999999999;17.0;23.0;60.0;44.0;27.999999999999996;28.000000000000004;61.0;23.0;16.000000000000004;47.0;27.0;26.0;X;1;X;2;X;X;X;X;1;2;1;1;2;105447;1436;99;30;56;1542;17719;120659;22711860;;X1X2XXXX12112;81835
2022-04-30;4739;17;10.0;16.0;74.0;68.0;19.999999999999996;12.0;40.0;28.000000000000004;31.999999999999996;37.0;29.000000000000004;34.0;35.0;31.000000000000007;34.0;31.0;28.999999999999996;40.0;55.00000000000001;25.0;19.999999999999996;50.0;27.0;23.0;43.0;26.999999999999996;30.000000000000004;47.0;26.0;27.0;39.0;29.000000000000004;31.999999999999996;61.0;23.0;16.000000000000004;33.0;28.999999999999996;38.0;2;1;2;2;2;2;1;1;1;X;2;1;2;5949;74;0;0;2185;37239;264580;1082217;28336072;13.0;212222111X212;1654
2022-05-07;4740;18;67.0;19.999999999999996;13.0;71.0;19.000000000000007;9.999999999999998;30.0;27.999999999999996;42.00000000000001;31.0;28.999999999999996;40.0;43.0;26.999999999999996;30.000000000000004;59.0;24.0;17.000000000000004;46.0;25.999999999999996;28.000000000000004;39.0;27.0;34.0;70.0;20.000000000000007;9.999999999999998;64.0;21.999999999999996;14.000000000000002;28.000000000000004;27.0;44.99999999999999;52.0;26.0;21.999999999999996;46.0;26.999999999999996;27.0;X;X;1;2;1;1;2;X;1;1;2;1;2;288308;1900;118;33;49;1443;18509;137074;28124275;14.0;XX12112X11212;107944
2022-05-14;4741;19;26.0;27.0;47.0;41.0;31.0;28.000000000000004;44.0;27.999999999999996;28.000000000000004;17.0;22.0;61.0;48.0;24.0;28.000000000000004;35.0;25.0;40.0;69.0;18.000000000000004;13.0;45.0;24.999999999999993;30.000000000000004;49.0;24.0;27.0;55.00000000000001;23.0;21.999999999999996;55.00000000000001;24.0;20.999999999999996;47.0;24.0;29.000000000000004;65.0;20.999999999999996;14.000000000000002;X;2;1;1;1;1;X;1;2;X;2;1;1;605453;10621;606;143;8;171;2397;21116;18629328;;X21111X12X211;640657
2022-05-21;4742;20;81.0;13.99999999999999;5.000000000000004;82.0;13.0;5.000000000000004;62.0;21.999999999999996;16.000000000000004;41.0;26.000000000000007;32.99999999999999;82.0;13.0;5.000000000000004;8.0;14.000000000000002;78.0;37.0;28.000000000000004;35.0;40.0;28.000000000000004;31.999999999999996;32.0;26.999999999999996;41.0;48.0;26.0;26.0;28.999999999999996;28.999999999999996;42.00000000000001;49.0;26.0;25.0;13.0;21.000000000000004;65.99999999999999;1;1;1;2;1;2;1;2;1;1;1;2;2;3419;74;0;0;1713;29343;222136;961452;22527630;;1112121211122;1066
2022-05-28;4743;21;46.0;25.999999999999996;28.000000000000004;68.0;19.999999999999996;12.0;54.0;24.0;21.999999999999996;35.0;30.000000000000004;35.0;40.0;28.000000000000004;31.999999999999996;28.000000000000004;26.0;46.0;53.0;26.0;20.999999999999996;54.0;26.0;19.999999999999996;27.0;29.000000000000004;43.99999999999999;15.0;20.0;65.0;16.0;23.0;61.0;38.0;26.0;36.0;22.0;26.0;52.0;2;1;1;2;2;1;X;X;2;2;2;X;1;440000;3691;221;54;25;548;7292;61749;20745545;11.0;211221XX222X1;101042
2022-06-04;4744;22;37.0;30.000000000000004;32.99999999999999;10.0;22.0;68.0;35.0;31.000000000000007;34.0;28.999999999999996;31.0;40.0;32.0;30.0;38.0;37.0;27.0;36.0;40.0;25.0;35.0;20.0;25.0;55.00000000000001;28.999999999999996;25.000000000000007;46.0;45.0;24.999999999999993;30.000000000000004;53.0;24.0;23.0;50.0;25.0;25.0;48.0;28.000000000000004;24.0;X;1;X;2;1;2;2;2;1;X;X;X;2;0;88294;4155;839;0;15;255;2629;13583755;;X1X212221XXX2;1305344
2022-06-11;4745;23;53.0;27.0;19.999999999999996;13.0;21.000000000000004;65.99999999999999;61.0;23.0;16.000000000000004;23.0;26.0;51.0;39.0;30.999999999999993;30.000000000000004;46.0;28.999999999999996;25.0;32.0;33.0;35.0;38.0;31.999999999999996;30.000000000000004;13.0;21.000000000000004;65.99999999999999;45.0;30.0;25.0;38.0;25.0;37.0;48.0;25.0;27.0;51.0;25.0;24.0;X;X;X;X;1;1;X;1;2;X;2;X;1;2645193;10586;608;145;3;156;2170;18896;16937713;7.0;XXXX11X12X2X1;441173
2022-06-18;4746;24;62.0;19.999999999999996;18.000000000000004;64.0;19.999999999999996;16.000000000000004;55.00000000000001;24.0;20.999999999999996;49.0;24.0;27.0;54.0;23.0;23.0;13.0;19.0;68.0;38.0;26.0;36.0;41.0;26.000000000000007;32.99999999999999;52.0;25.0;23.0;22.0;23.0;55.00000000000001;74.0;16.000000000000004;9.999999999999998;51.0;26.0;23.0;32.0;30.0;38.0;1;1;2;X;1;2;X;2;1;2;2;1;X;216581;1698;90;24;16;765;11496;88937;13328069;;112X12X21221X;50067
2022-06-25;4747;25;50.0;25.0;25.0;15.0;21.0;64.0;27.0;28.000000000000004;44.99999999999999;11.0;19.0;70.0;33.0;24.999999999999993;42.00000000000001;13.0;19.0;68.0;25.0;23.0;52.0;35.0;27.0;38.0;65.0;19.999999999999996;15.000000000000002;78.0;13.0;8.999999999999996;32.0;26.999999999999996;41.0;35.0;25.0;40.0;55.00000000000001;24.0;20.999999999999996;X;X;X;2;1;2;X;1;1;1;X;1;2;309973;2817;172;46;12;495;6468;49581;14306447;;XXX212X111X12;120411
2022-07-02;4748;26;26.0;28.000000000000004;46.0;62.0;23.0;15.000000000000002;41.0;25.000000000000007;34.0;24.0;24.0;52.0;28.999999999999996;25.000000000000007;46.0;21.0;23.0;56.00000000000001;7.000000000000001;12.0;81.0;28.999999999999996;24.000000000000004;47.0;23.0;24.999999999999996;52.0;41.0;25.000000000000007;34.0;42.0;25.000000000000007;32.99999999999999;62.0;21.999999999999996;16.000000000000004;36.0;29.000000000000004;35.0;X;2;2;X;1;X;2;1;1;1;X;2;1;0;80557;3006;627;0;16;343;3425;13219761;;X22X1X2111X21;1089057
2022-07-09;4749;27;36.0;27.0;37.0;24.0;23.0;53.0;26.0;25.0;49.0;60.0;21.999999999999996;18.000000000000004;51.0;24.0;25.0;22.0;27.0;51.0;56.00000000000001;24.0;19.999999999999996;57.99999999999999;23.00000000000001;18.999999999999993;45.0;25.999999999999996;29.000000000000004;27.0;26.0;47.0;55.00000000000001;25.0;19.999999999999996;48.0;26.0;26.0;37.0;27.0;36.0;X;X;X;1;X;2;2;1;X;2;X;1;X;599739;3739;230;65;12;377;4902;35830;14460512;7.0;XXX1X221X2X1X;436190
2022-07-16;4750;28;66.0;19.999999999999996;14.000000000000002;21.0;26.0;53.0;11.0;17.000000000000004;72.0;5.0;10.0;85.0;39.0;27.0;34.0;23.0;23.999999999999996;53.0;67.0;19.999999999999996;13.0;56.99999999999999;25.0;18.000000000000004;53.0;27.0;19.999999999999996;48.0;25.0;27.0;48.0;27.0;25.0;52.0;24.0;24.0;45.0;25.999999999999996;29.000000000000004;1;X;2;2;2;2;1;X;1;1;X;1;1;3410;78;0;0;963;15688;112266;465746;12632051;;1X22221X11X11;1236
2022-07-23;4751;29;55.00000000000001;24.0;20.999999999999996;55.00000000000001;26.0;18.999999999999993;53.0;25.0;21.999999999999996;49.0;26.0;25.0;76.0;15.000000000000002;8.999999999999996;40.0;27.0;32.99999999999999;38.0;27.0;35.0;47.0;23.0;30.000000000000004;56.00000000000001;24.0;19.999999999999996;37.0;25.0;38.0;36.0;27.0;37.0;25.0;28.000000000000004;47.0;49.0;26.0;25.0;X;1;2;1;1;1;X;X;1;2;1;2;1;32638;305;25;0;207;4565;44276;244122;14300995;6.0;X12111XX12121;27766
2022-07-30;4752;30;34.0;26.999999999999996;39.0;46.0;27.999999999999996;26.0;30.0;28.999999999999996;41.0;47.0;27.0;26.0;49.0;27.0;24.0;42.0;28.999999999999996;29.000000000000004;32.0;27.999999999999996;40.0;38.0;30.999999999999993;31.000000000000007;43.0;27.999999999999996;29.000000000000004;42.0;28.999999999999996;29.000000000000004;36.0;27.0;37.0;52.0;24.0;24.0;67.0;19.999999999999996;13.0;1;1;1;1;X;1;X;X;X;1;2;X;1;441797;4746;297;77;15;340;4342;34790;16550185;6.0;1111X1XXX12X1;157009
