Datum;ID_Omg;M1-1;M1-X;M1-2;M2-1;M2-X;M2-2;M3-1;M3-X;M3-2;M4-1;M4-X;M4-2;M5-1;M5-X;M5-2;M6-1;M6-X;M6-2;M7-1;M7-X;M7-2;M8-1;M8-X;M8-2;M1;M2;M3;M4;M5;M6;M7;M8;8 rätt;Vinnande Rad Nr;Antal Vinnare;Omsättning;Extra Pengar;Correct_Row;True_Rank
2021-07-18;1337;52;29;19;51;28;21;43;28;29;19;23;58;32;29;39;48;27;25;31;28;41;50;27;23;1;1;2;2;2;X;1;1;649,00 kr;109;1660;1 539 159,00 kr;;11222X11;117
2021-07-21;1338;67;24;9;31;30;39;29;24;47;48;26;26;76;16;8;79;14;7;35;26;39;50;26;24;1;X;X;1;1;1;X;X;224,00 kr;205;4535;1 457 664,00 kr;;1XX111XX;205
2021-07-25;1339;48;26;26;42;27;31;27;27;46;44;30;26;54;26;20;52;26;22;69;18;13;22;25;53;1;X;2;1;1;X;X;1;5 752,00 kr;1977;201;1 651 906,00 kr;;1X211XX1;2074
2021-07-28;1340;30;25;45;36;29;35;67;21;12;47;25;28;63;20;17;25;27;48;67;21;12;48;28;24;2;X;1;1;1;2;1;1;109,00 kr;3;10670;1 670 071,00 kr;;2X111211;3
2021-08-01;1341;56;25;19;48;29;23;18;22;60;32;28;40;34;29;37;27;30;43;28;27;45;31;27;42;1;1;X;X;1;1;2;X;5 574,00 kr;1595;266;2 118 168,00 kr;;11XX112X;1698
2021-08-05;1342;73;18;9;45;31;24;33;27;40;27;27;46;70;18;12;49;26;25;13;19;68;37;27;36;X;X;2;2;1;X;2;1;1 837,00 kr;592;615;1 613 964,00 kr;;XX221X21;596
2021-08-08;1343;51;27;22;64;21;15;68;19;13;38;27;35;35;30;35;46;28;26;14;25;61;31;26;43;2;1;1;X;1;2;X;2;1 962,00 kr;1084;784;2 198 403,00 kr;;211X12X2;1105
2021-08-12;1344;25;29;46;66;19;15;33;27;40;67;18;15;70;17;13;23;24;53;51;25;24;22;23;55;2;1;2;1;1;1;1;2;284,00 kr;12;3895;1 585 534,00 kr;;21211112;12
2021-08-15;1345;19;24;57;30;28;42;56;23;21;23;30;47;66;19;15;23;25;52;43;27;30;21;27;52;1;2;1;2;1;1;2;2;1 492,00 kr;364;1168;2 490 010,00 kr;;12121122;371
2021-08-19;1346;63;22;15;62;22;16;21;25;54;63;27;10;29;24;47;23;29;48;47;28;25;59;24;17;1;1;1;1;2;2;X;X;1 279,00 kr;226;963;1 759 542,00 kr;;111122XX;229
